OrgNumber,ChangedDate,Navn,Sted,Antall ansatte ,Fase ,Forretningsmodell ,CEO ,Grunder ,Stiftelsesdato ,Hjemmeside,Beskrivelse ,Logo
917548080,24/02/21,GAMEFRAYM AS,Haugesund ,6,Vekst ,B2B,Håvar Bjørnseth ,Håvar Bjørnseth,01.07.2016,www.gamefraym.com ,"Gamefraym utvikler en spillplattform for spillere i hele verden. Plattformen skal være komplett, med fullautomatisk gjennomføring av konkurranser og integrasjon med ferdighetsbaserte spill",Bilde  av gamefraym logo 
913978617,24/02/21,MONNER AS,Oslo ,16,Etablert ,B2B,Jarle Holm ,Jarle Holm ,24.06.2014,www.monner.no,"Monner AS er en digital plattform som tilbyr gründere og mindre vekstselskaper tjenester innenfor veiledning og rådgivning, analyseverktøy og finansielle produkter og tjenester.",Bilde av Monner logo 
915694608,7/12/2020,BIKEFINDER AS,Stavanger,9,Vekst ,B2C,Birgitte F. Sunde,Ole Martin Ølmheim,11.06.2015,www.bikefinder.no,"Bikefinder tilbyr GPS-sporing fra mobilen og forsikring i ett. I BikeFinder-appen kan man melde fra om tyveri, batteristatus, samt få varsel dersom noen flytter på sykkelen.",
924927194,29/06/20,OCEAN OASIS AS,Oslo ,3,Vekst ,B2B,Kristine Bangstad Fredriksen,,16.04.2020,www.oceanoasis.co,"OceanOasis er en ferskvannsleverandør som bruker bølgens kraft for å levere avsaltet vann til land der det trengs på en fleksibel, effektiv måte og uten utslipp, gjennom å sette Norges offshore-kompetanse til å jobbe for en tryggere og renere fremtid",
916611749,21/06/20,PODBIKE AS,Sandnes,8,Bygger,B2C,Anne-Lise Heggland,Per Hassel Sørensen,13.01.2016,www.podbike.com/,Podbike er en firehjulssykkel med værbeskyttelse og el-assistanse opp til 25 km / t. Podbike er et GreenTech-selskap dedikert til å gjøre sykling attraktiv for å redusere forurensningen.,
913292049,19/08/20,HUDDLY AS,Oslo ,58,Etablert ,"B2B, B2C",Stein Ove Eriksen,Stein Ove Eriksen,07.12.2014,www.huddly.com,"Huddly leverer videokonferanseutstyr, inkl. programvare og AI for intelligente videkonferansekameraer for møter. Selskapet tilbyr også en app for å kontrollere konferansekameraet.",
920772226,15/01/21,AIMY AS,Bergen,2,Vekst ,B2B,Sander Ripman Seim,Sander Ripman Seim,08.04.2018,www.aimy.no,"AIMY AS har utviklet en personlig assistent (AIMY) for handel, restaurant og hotellbransjen, basert på kunstig intelligens som skal effektivisere og analysere selskaper og butikkers inntekt og ansatte ved å samle alle dataene inn i én plattform.",
915501680,1/7/2020,OTOVO AS ,Oslo ,60,Vekst ,B2C,Andreas Torsheim,Andreas Torsheim,01.06.2015,www.otovo.no,"Otovo er Nordens ledende aktør på solcelletak og selskapet er også en fungerende kraftleverandør. Otovo skreddersyr forslag på komplette solcelleanlegg for hver enkelt kunde, i tillegg har selskapet også en app utviklet for å følge produksjonen.",
923403418,30/06/20,SMOC.AI AS ,Oslo ,6,Vekst ,B2B,Kristoffer Kvam,Kristoffer Kvam,16.07.2019,www.smoc.ai,"Smoc.Ai (The Smooth Operating Company) er en SaaS-annonseplattform som vektlegger interaksjon drevet av chatbots og AI, der brukeren blir belønnet for deltakelse i annonser/reklame.",
912523802,4/8/2020,PLAY MAGNUS AS,Oslo ,9,Vekst ,B2C,Andreas Thome,,20.09.2013,www.playmagnus.com/,Play Magnus er en norsk gruppe avselskaper som fokuserer på å tilby de fremste digitale opplevelsene for sjakkspillere og studenter over hele verden gjennom dets økosystem av sjakkprodukter og tjenester. Tilbyr eLearning- og underholdningstjenester.,
