Innsendt dato,Prosjektnummer,Bedriftsnavn,Prosjekttittel,Organisasjonsnummer,Fylke,Kommunenavn,Poststed,Søknad godkjent,Søknad avslått,Vedtaksdato,Prosjektets fra-år,Prosjektets til-år,Bransje,Populærvitenskapelig sammendrag
1/1/2020,311414,WILHELMSEN SHIPS SERVICE AS,Hologrambasert læringsplattform,917019215,Viken,Bærum,LYSAKER,NEI,JA,2/28/2020,2020,2022,Maritim,"Læring og innovasjon går hånd i hånd. Den største faren med suksess er å tro at det du gjorde i går vil gi suksess i morgen. Ny kunnskap utvikles raskere enn noen sinne dette setter nye krav til effektive læringsplattformer som gir rask tilgang til riktig kunnskap og effektivit overfører kunnskap til mottakere. Ved hjelp av hologram teknologi vil WSS utvikle en læringsplattform som gjøre det mulig å få rask tilgang til de beste kunnskapsformidlerne uansett hvor de befinner seg og samtidig få overført kunnskapen på en effektiv måte. 




 "
1/1/2020,311415,INPUT DATA AS,Generasjon 2 AI verdimoduler for tungtransport. Eksalering av utskiftning til en miljøvennlig flåte,980397327,Viken,Fredrikstad,GRESSVIK,JA,NEI,3/31/2020,2020,2022,Transport og samferdsel,"Usikkerhet knyttet til verdifastsettelse av tunge kjøretøy har stor effekt på utskiftningsraten og hvor fort tungtransport flåten konverteres til en mer miljøvennlig flåte. Ved hjelp av Kunstig Intelligens løsninger kan vi redusere denne usikkerheten og tilføre beslutningstakere et bedre beslutningsgrunnlag. Vi vil reduserer både økonomisk og driftsrelatert risiko betraktelig, noe som igjen vil gjøre det lettere å ta bærekraftige valg."
1/2/2020,311418,LOGI TRANS AS,Ny miljøvennlig transportavvikling via nytt visuelt styrings- og analyseverktøy (forlengelse),884048842,Rogaland,Sola,TANANGER,JA,NEI,3/31/2020,2020,2021,Transport og samferdsel,"Vi søker i prosjektet å oppnå mer effektiv og miljøvennlig transportavvikling ved å utvikle et nytt visuelt styrings- og analyseverktøy. Løsningen skal gi store miljø- og transportøkonomiske gevinster via avansert logikk, automatisering og analytiske trender. Kommersiell programvare kan ikke løse dagens utfordringer på en god nok måte."
1/2/2020,311419,NORSK TRAFO SERVICE AS,Fortsette utviklingen av nye verktøy og systemer innen trafomarkedet (forlengelse nr. 276229),976515625,Viken,Sarpsborg,BORGENHAUGEN,JA,NEI,4/22/2020,2020,2021,Energi,"I dette prosjektet utvikles et nytt brukervennlig websystem som skal forenkle arbeid og oversikt, og øke sikkerheten rundt kritiske industritrafoer."
1/2/2020,311420,EXPERIENCE PRODUCTION AS,Automatisert kommunikasjon for bedre Escape room-opplevelser,915999077,Oslo,Oslo,OSLO,JA,NEI,3/26/2020,2020,2021,IKT-næringen,"Digital kommunikasjonsenhet for escape rooms, der automatiserte kommandoer og hint gis til deltakerne, tilpasset escape room-tema og spillprogresjon."
1/2/2020,311421,TCM AS,"Control 2.0: Automatisert tele/IT selvbetjenings-webapp for bedrifter, med finansiering av assets mm",913046927,Oslo,Oslo,OSLO,JA,NEI,3/26/2020,2020,2022,IKT-næringen,"Utvikle automatisert og brukervennlig tele/IT selvbetjenings-webapp for bedrifter/ansatte, som sparer brukerne for tid og penger."
1/8/2020,311452,BARN - NETT AS,"Utvikle ""Frender:"" Framtidens teknologifundament for internkontroll og HR for alle typer bedrifter",976071166,Vestland,Bergen,BERGEN,JA,NEI,3/26/2020,2020,2022,IKT-næringen,"Utvikling av framtidens teknologifundament som gjør internkontroll og HR for alle typer bedrifter enkelt og oversiktlig, på mobil- eller webapp."
1/8/2020,311453,HOUSEOFGUARANTEES AS,Forlengelse: Automatisering av dagens manuelle prosesser i garantiforsikringsbransjen,920619886,Oslo,Oslo,OSLO,JA,NEI,2/19/2020,2020,2020,IKT-næringen,"Prosjektet har som mål å effektivisere og forenkle dagens praksis rundt garantiforsikringer, ved utvikling av nye automatiserte løsninger."
1/11/2020,311469,ORALCARE AS,Cloud-Based Journal/ Medical Record System for Dentists,999661548,Oslo,Oslo,OSLO,JA,NEI,1/22/2020,2020,2023,Helsenæringen,"The number of industries that are seeking the benefits of using cloud based record and document systems are increasing daily. The dental industry, though, has been lagging behind in exploiting the opportunities that are to be found within new technology. A cloud based medical record system within the dental industry will potentially revolutionize the industry and pave way for new innovations and improved modes of operations. It will improve services, reduce costs, increase mobility and enable dentists to focus on their core business."
1/13/2020,311478,LIFECARE AS,Videreutvikling av nanoteknologisk blodsukkermåler for kontinuerlig in vivo måling av blodsukker,990251657,Vestland,Bergen,BERGEN,JA,NEI,1/20/2020,2020,2022,Helsenæringen,"Lifecare/Sencell er i innovasjonens fremste front, og har oppnådd viktige resultater. 

Sencell har totalt ny tilnærming til glukosemåling og vil bety en revolusjon for diabetikere: Det er lineær sammenheng mellom glukosemengde i kroppen og kroppens osmotiske trykk. Sencell avleser de osmotiske variasjonene i vevsvæsken og ikke i blodet. Sensoren vil være ca 0,5*0,5*2mm og implanteres under huden i minimum 6 mnd og sender glukosedata kontinuerlig ut til ekstern leser. Dual sensors måler internt vs eksternt trykk. Nanosensorer og 3D representerer disruptive løsninger som gir mye høyere sensitivitet, mye bedre brukeropplevelse, og mye lavere kostnader. Innebyggede alarmfunksjoner varsler diabetikeren straks glukosenivået nærmer seg kritiske verdier. En ASIC sørger for omlesning av analoge signaler til digitale - og besørger styringen av radiosignalene. Sensoren benytter trådløs induktiv energi. Sencell sin måler antas å ha høyere nøyaktighet og betydelig lavere kostnader. I tillegg oppnås kontinuitet, smertefrihet, diskresjon -og kommunikasjon.

Vi har i tidligere faser bla gjennomført 2 x dyreforsøk samt implementert sensor med 2 x trykkanaler for å kunne eliminere annet eksternt trykk og fått bekreftet ""proof-of-concept"". Videreføringen innebærer bla å ferdigstille ""verdens minste sensor"" for kontinuerlig blodsukkermåling vha nanoteknologi og 3D print, samt sammenstille alle komponenter i en komplett markedsklar optimalisert Working Prototype."
1/16/2020,311521,MULTICONSULT NORGE AS,"FC-Hyac, Fjord and Coast hydroacoustics",918836519,Oslo,Oslo,OSLO,JA,NEI,3/2/2020,2020,2022,Marin/sjømat,"To measure and quantify hydroacoustic noise levels associated with anthropogenic activity in coastal areas have grown into becoming nearly as an important task as estimating chemical and biological pollution. The goal of this project is to achieve a software-chain (FC-Hyac) of validated, robust tools needed to establish the hydroacoustic noise levels arising from activities associated with construction, shipping or other significant noise-pollution sources in coastal (fjord) areas. It also addresses the aspect of mitigation of ocean sound pollution and how new standards for underwater acoustics (e.g. ISO/NP 17208-3 and ISO 18406:2017) could be abided."
