Innsendt,Prosjektnummer,Bedriftsnavn,Prosjekttittel,Organisasjonsnummer,Fylke,Kommunenavn,Poststed,Søknad godkjent,Søknad avslått,Prosjektets fra-år,Prosjektets til-år,Vedtaksdato,Populærvitenskapelig sammendrag
1/1/2019,298376,NORDCON AS,Ferdigstille utviklingen av ny metode for produksjon av lift- og kombicontainere,913805550,ukjent,GJØVIK,HUNNDALEN,JA,NEI,2019,2019,2/12/2019,"Vi utvikler en ny metode for produksjon av lift- og kombicontainere, med nytt energieffektivt design og betydelig reduserte klimagassutslipp. Produksjonsprosessen gir et totalt endret transportmønster av containere."
1/1/2019,298377,MARINE FABRICATION AS,Ferdigutvikle ny notmanipulator som utnytter produksjonsarealet optimalt,991965505,ukjent,OS (HORDALAND),OS,JA,NEI,2019,2019,1/30/2019,"Utvikling av ny notmanipulator som legger noten på en ny måte som utnytter gulvarealet langt bedre enn i dag, sparer arealkostnader og gir sikrere drift."
1/1/2019,298378,DIGITALBYRÅET A2N AS,"Forlengelse 2019: Utvikle ny online plattform, som blir boligvelgerens svar på Uber",988909378,Oslo,OSLO,OSLO,JA,NEI,2019,2019,2/28/2019,Vi utvikler en helt ny type online boligvelger basert på delingsøkonomi-tankegang.
1/1/2019,298379,INTECH AS,Unik distribusjonsplattform for universelt utvekslingsformat av standarder.,983040225,ukjent,BÆRUM,SANDVIKA,JA,NEI,2019,2020,2/15/2019,Vår målsetning er å utvikle en helt ny plattform basert på sentrale strategielementer fra Systems Engineering for å sikre samhandling mellom ulike parter og komplekse systemer gjennom hele produktets livssyklus. Løsningen vil tilby effektiv håndtering av dokumenter og kravene i standardene som gir muligheter for automatisering med en helt ny metodikk.
1/2/2019,298382,KAOS NORGE AS,"Bærekraftig, plassbesparende modulmøbel for alle livets faser",912573362,Oslo,OSLO,OSLO,JA,NEI,2019,2021,5/23/2019,Vi skal utvikle et bærekraftig modulkonsept for fleksible møbelkombinasjoner.
1/2/2019,298383,IOT LABS AS,AutoFPI. Fluoriserende Penetrant Inspeksjon.,983751008,ukjent,KONGSBERG,KONGSBERG,NEI,NEI,2019,2019,,
1/2/2019,298384,KAOS NORGE AS,Bærekraftig sikkerhetsutstyr for høystol til barn,912573362,Oslo,OSLO,OSLO,NEI,JA,2019,2021,4/23/2019,
1/2/2019,298386,NEXOY AS,Skall,815685512,Rogaland,GJESDAL,ÅLGÅRD,NEI,JA,2019,2019,1/30/2019,
1/3/2019,298387,KHRONOLOG NESVOLD,MedMonitor,919000538,Oslo,OSLO,OSLO,JA,NEI,2019,2019,2/12/2019,"MedMonitor er en nyskapende kombinasjon av medisinalarm og helsejournal. Verktøyet installeres på en smarttelefon eller nettbrett. Som en vanlig alarmklokke varsler MedMonitor når det er tid for medisinering. Det som imidlertid er spesielt med denne alarmen, er man ved enkle tastetrykk også logger data om helsen til medisinerte. Ved å jevnlig logge data, opparbeides en oversikt over hvordan helsetilstanden utvikler seg over tid, og hvordan justeringer i medisinering påvirker funksjonsevnen. Denne oversikten vil kunne bidra til å kvalitetssikre medisinske vurderinger.

MedMonitor er designet med tanke på at brukere kan ha lite eller ingen erfaring med data og smarttelefoner fra før."
1/3/2019,298392,ROMAR AS,Ecoprot - Svart soldatfluelarver som animalsk protein og fett,981906004,Nordland,MELØY,ENGAVÅGEN,JA,NEI,2019,2021,2/12/2019,"Svart soldatflue (Hermetia illucens) larver omsetter effektivt varierende organisk substrat (fekalier, husholdningsavfall, planter og dyr). Ulike anvendelser av larvene er kompostering og avfallshåndtering, biodieselproduksjon og fôr til fjørfe og fisk og skalldyr.
Insektmel produsert fra svart soldatflue har fått stor oppmerksomhet i Norge de siste årene. Driveren har stort sett vært stor etterspørsel etter animalske proteinkilder for fôr til laksefisk. Forskningsrådet har finansiert flere prosjektet (Aquafly, Entofôr) på tilpassing av mel fra soldatflue som fôringrediens til laks. Det er også gjennomført studier der en har brukt tare som fôr til larvene. Konklusjonen er at larvene vokser godt på tare, men de akkumulerer også tungmetaller og arsen. Høye nivåer tare i fôr til larvene ga Cd og As nivåer over EU ´s grenser.

Romar AS og Maricult AS har fått tillatelse av Miljødirektoratet til import av svart soldatflue for å starte kommersiell produksjon i Åmøyhamn i Meløy kommune. I henhold til Miljødirektoratets vedtaksprotokoll er vi de eneste som har fått tillatelse til import for kommersiell produksjon (https://www.miljovedtak.no/VedtakSøk/VisSak?SakId=30895 ). Produksjonen vil foregå i lokaler tilhørende Åmøyhamn Eiendom AS der Romar AS eier 50 % av aksjene.

Det aktuelle prosjektet skal utvikle en effektiv produksjonslinje og gode produkter fra svart soldatflue."
